TransactionID,Vendor,PostingDate,Amount,Variance,Confidence,AI_Reason,Reviewed,Escalate,transaction_id,invoice_id,po_number,vendor_id,invoice_amount,transaction_type
TX-1000025,VENDOR-022,2025-11-24,32557.43,6840.50,0.73,Partial Posting,TRUE,FALSE,TX-1000025,INV-00025,PO-00025,VENDOR-022,32557.43,invoice
TX-1000026,VENDOR-005,2025-10-14,8476.62,265.43,0.71,Wrong Vendor Mapping,FALSE,FALSE,TX-1000026,INV-00026,PO-00026,VENDOR-005,8476.62,invoice
TX-1000027,VENDOR-032,2025-09-27,23386.92,166.67,0.74,Timing Difference,FALSE,FALSE,TX-1000027,INV-00027,PO-00027,VENDOR-032,23386.92,invoice
TX-1000028,VENDOR-007,2025-11-20,16760.09,242.92,0.57,Batch Interface Failure,TRUE,FALSE,TX-1000028,INV-00028,PO-00028,VENDOR-007,16760.09,invoice
TX-1000029,VENDOR-047,2025-11-01,12469.58,474.3,0.55,Missing Receipt,FALSE,FALSE,TX-1000029,INV-00029,PO-00029,VENDOR-047,12469.58,invoice
TX-1000030,VENDOR-013,2025-10-28,20740.35,114.35,0.77,Manual Entry Error,TRUE,FALSE,TX-1000030,INV-00030,PO-00030,VENDOR-013,20740.35,invoice
TX-1000031,VENDOR-016,2025-09-11,13650.14,383.56,0.67,Missing Receipt,FALSE,FALSE,TX-1000031,INV-00031,PO-00031,VENDOR-016,13650.14,invoice
TX-1000032,VENDOR-060,2025-11-06,17865.2,45.13,0.69,Timing Difference,TRUE,FALSE,TX-1000032,INV-00032,PO-00032,VENDOR-060,17865.2,invoice
TX-1000033,VENDOR-026,2025-10-23,17669.34,227.03,0.65,Manual Entry Error,FALSE,FALSE,TX-1000033,INV-00033,PO-00033,VENDOR-026,17669.34,invoice
TX-1000034,VENDOR-051,2025-10-19,7323.3,52.2,0.5,Unknown / Needs Review,TRUE,TRUE,TX-1000034,INV-00034,PO-00034,VENDOR-051,7323.3,invoice
TX-1000035,VENDOR-013,2025-09-25,3250.96,182.45,0.43,Unknown / Needs Review,FALSE,TRUE,TX-1000035,INV-00035,PO-00035,VENDOR-013,3250.96,invoice
TX-1000036,VENDOR-021,2025-09-16,13072.69,1211.22,0.54,Wrong Vendor Mapping,TRUE,TRUE,TX-1000036,INV-00036,PO-00036,VENDOR-021,13072.69,invoice
TX-1000037,VENDOR-033,2025-10-10,19257.95,565.79,0.75,Conversion Error,TRUE,FALSE,TX-1000037,INV-00037,PO-00037,VENDOR-033,19257.95,invoice
TX-1000038,VENDOR-008,2025-10-05,9568.01,169.47,0.87,Manual Entry Error,FALSE,FALSE,TX-1000038,INV-00038,PO-00038,VENDOR-008,9568.01,invoice
TX-1000039,VENDOR-060,2025-09-06,4542.12,278.1,0.62,Reference Data Misalignment,FALSE,FALSE,TX-1000039,INV-00039,PO-00039,VENDOR-060,4542.12,invoice
TX-1000040,VENDOR-043,2025-09-10,33348.35,14275.00,0.7,Partial Posting,TRUE,FALSE,TX-1000040,INV-00040,PO-00040,VENDOR-043,33348.35,invoice
TX-1000041,VENDOR-040,2025-11-13,7241.21,87.17,0.62,Timing Difference,FALSE,FALSE,TX-1000041,INV-00041,PO-00041,VENDOR-040,7241.21,invoice
TX-1000042,VENDOR-023,2025-11-14,14805.68,93.99,0.68,Partial Posting,FALSE,FALSE,TX-1000042,INV-00042,PO-00042,VENDOR-023,14805.68,invoice
TX-1000043,VENDOR-035,2025-11-04,14026.62,126.43,0.95,Manual Entry Error,TRUE,FALSE,TX-1000043,INV-00043,PO-00043,VENDOR-035,14026.62,invoice
TX-1000044,VENDOR-008,2025-10-08,21188.37,59.52,0.33,Unknown / Needs Review,FALSE,TRUE,TX-1000044,INV-00044,PO-00044,VENDOR-008,21188.37,invoice
TX-1000045,VENDOR-022,2025-11-17,12568.3,113.94,0.82,Unit of Measure Mismatch,FALSE,FALSE,TX-1000045,INV-00045,PO-00045,VENDOR-022,12568.3,invoice
TX-1000046,VENDOR-028,2025-09-06,17930.73,711.62,0.58,Price Variance,FALSE,FALSE,TX-1000046,INV-00046,PO-00046,VENDOR-028,17930.73,invoice
TX-1000047,VENDOR-048,2025-09-18,7314.47,431.04,0.72,Conversion Error,TRUE,FALSE,TX-1000047,INV-00047,PO-00047,VENDOR-048,7314.47,invoice
TX-1000048,VENDOR-003,2025-11-02,24353.38,92.14,0.47,Batch Interface Failure,FALSE,TRUE,TX-1000048,INV-00048,PO-00048,VENDOR-003,24353.38,invoice
TX-1000049,VENDOR-058,2025-10-04,5288.18,466.34,0.6,Batch Interface Failure,FALSE,FALSE,TX-1000049,INV-00049,PO-00049,VENDOR-058,5288.18,invoice
TX-1000050,VENDOR-050,2025-10-18,17397.33,130.98,0.8,Timing Difference,FALSE,FALSE,TX-1000050,INV-00050,PO-00050,VENDOR-050,17397.33,invoice
TX-1000051,VENDOR-012,2025-10-28,7664.8,424.76,0.38,Unknown / Needs Review,FALSE,TRUE,TX-1000051,INV-00051,PO-00051,VENDOR-012,7664.8,invoice
TX-1000052,VENDOR-056,2025-11-01,18504.2,506.29,0.58,Accrual Reversal,FALSE,FALSE,TX-1000052,INV-00052,PO-00052,VENDOR-056,18504.2,invoice
TX-1000053,VENDOR-053,2025-10-25,4261.6,149.71,0.35,Unknown / Needs Review,TRUE,TRUE,TX-1000053,INV-00053,PO-00053,VENDOR-053,4261.6,invoice
TX-1000054,VENDOR-018,2025-09-09,17677.82,860.23,0.43,Unknown / Needs Review,FALSE,TRUE,TX-1000054,INV-00054,PO-00054,VENDOR-018,17677.82,invoice
TX-1000055,VENDOR-054,2025-11-03,50014.06,22480.75,0.55,Missing Receipt,TRUE,FALSE,TX-1000055,INV-00055,PO-00055,VENDOR-054,50014.06,invoice
TX-1000056,VENDOR-007,2025-09-18,2703.41,648.45,0.45,Unknown / Needs Review,FALSE,TRUE,TX-1000056,INV-00056,PO-00056,VENDOR-007,2703.41,invoice
TX-1000057,VENDOR-025,2025-09-03,9611.39,244.66,0.69,Manual Entry Error,FALSE,FALSE,TX-1000057,INV-00057,PO-00057,VENDOR-025,9611.39,invoice
TX-1000058,VENDOR-060,2025-11-15,598.59,34.92,0.8,Timing Difference,TRUE,FALSE,TX-1000058,INV-00058,PO-00058,VENDOR-060,598.59,invoice
TX-1000059,VENDOR-021,2025-10-01,10908.37,350.41,0.92,Manual Entry Error,FALSE,FALSE,TX-1000059,INV-00059,PO-00059,VENDOR-021,10908.37,invoice
TX-1000060,VENDOR-045,2025-10-08,6861.46,880.87,0.65,Conversion Error,TRUE,FALSE,TX-1000060,INV-00060,PO-00060,VENDOR-045,6861.46,invoice
TX-1000061,VENDOR-048,2025-10-01,1968.05,320.05,0.64,Duplicate Transaction,FALSE,FALSE,TX-1000061,INV-00061,PO-00061,VENDOR-048,1968.05,invoice
TX-1000062,VENDOR-014,2025-10-21,12439.34,374.44,0.64,Unit of Measure Mismatch,FALSE,FALSE,TX-1000062,INV-00062,PO-00062,VENDOR-014,12439.34,invoice
TX-1000063,VENDOR-031,2025-09-09,18733.14,324.47,0.69,Wrong PO Reference,TRUE,FALSE,TX-1000063,INV-00063,PO-00063,VENDOR-031,18733.14,invoice
TX-1000064,VENDOR-053,2025-10-07,23234,170.57,0.61,Conversion Error,FALSE,FALSE,TX-1000064,INV-00064,PO-00064,VENDOR-053,23234,invoice
TX-1000065,VENDOR-003,2025-11-19,14519.95,139.38,0.59,Unit of Measure Mismatch,FALSE,FALSE,TX-1000065,INV-00065,PO-00065,VENDOR-003,14519.95,invoice
TX-1000066,VENDOR-045,2025-10-24,22368.14,405.18,0.62,Batch Interface Failure,TRUE,FALSE,TX-1000066,INV-00066,PO-00066,VENDOR-045,22368.14,invoice
TX-1000067,VENDOR-049,2025-10-11,9121.16,287.88,0.74,Timing Difference,FALSE,FALSE,TX-1000067,INV-00067,PO-00067,VENDOR-049,9121.16,invoice
TX-1000068,VENDOR-036,2025-10-30,11208.25,86.27,0.77,Wrong Vendor Mapping,FALSE,FALSE,TX-1000068,INV-00068,PO-00068,VENDOR-036,11208.25,invoice
TX-1000069,VENDOR-039,2025-09-02,1836.95,438.85,0.65,Manual Entry Error,FALSE,FALSE,TX-1000069,INV-00069,PO-00069,VENDOR-039,1836.95,invoice
TX-1000070,VENDOR-011,2025-11-20,119317.96,50125.40,0.48,Unknown / Needs Review,TRUE,TRUE,TX-1000070,INV-00070,PO-00070,VENDOR-011,119317.96,invoice
TX-1000071,VENDOR-050,2025-09-25,7783.31,174.73,0.68,Accrual Reversal,FALSE,FALSE,TX-1000071,INV-00071,PO-00071,VENDOR-050,7783.31,invoice
TX-1000072,VENDOR-018,2025-10-26,4690.77,79.56,0.72,Timing Difference,TRUE,FALSE,TX-1000072,INV-00072,PO-00072,VENDOR-018,4690.77,invoice
TX-1000073,VENDOR-045,2025-11-08,16518.44,304.05,0.73,Manual Entry Error,FALSE,FALSE,TX-1000073,INV-00073,PO-00073,VENDOR-045,16518.44,invoice
TX-1000074,VENDOR-030,2025-10-26,6133.91,91.63,0.63,Wrong Vendor Mapping,FALSE,FALSE,TX-1000074,INV-00074,PO-00074,VENDOR-030,6133.91,invoice
TX-1000075,VENDOR-050,2025-11-27,15886.62,217.16,0.61,Reference Data Misalignment,FALSE,FALSE,TX-1000075,INV-00075,PO-00075,VENDOR-050,15886.62,invoice
TX-1000076,VENDOR-025,2025-11-28,19602.21,244.98,0.49,Reference Data Misalignment,FALSE,TRUE,TX-1000076,INV-00076,PO-00076,VENDOR-025,19602.21,invoice
TX-1000077,VENDOR-002,2025-09-08,6611.17,72.62,0.72,Accrual Reversal,TRUE,FALSE,TX-1000077,INV-00077,PO-00077,VENDOR-002,6611.17,invoice
TX-1000078,VENDOR-009,2025-09-17,18788.05,584.25,0.7,Manual Entry Error,FALSE,FALSE,TX-1000078,INV-00078,PO-00078,VENDOR-009,18788.05,invoice
TX-1000079,VENDOR-056,2025-11-03,8903.37,780.18,0.64,Conversion Error,FALSE,FALSE,TX-1000079,INV-00079,PO-00079,VENDOR-056,8903.37,invoice
TX-1000080,VENDOR-030,2025-10-07,20178.25,211.68,0.68,Manual Entry Error,TRUE,FALSE,TX-1000080,INV-00080,PO-00080,VENDOR-030,20178.25,invoice
TX-1000081,VENDOR-006,2025-09-29,5577.78,297.61,0.48,Stale Master Data,FALSE,TRUE,TX-1000081,INV-00081,PO-00081,VENDOR-006,5577.78,invoice
TX-1000082,VENDOR-042,2025-10-31,16824.48,382.47,0.58,Price Variance,TRUE,FALSE,TX-1000082,INV-00082,PO-00082,VENDOR-042,16824.48,invoice
TX-1000083,VENDOR-009,2025-09-05,9372.78,164.27,0.84,Conversion Error,FALSE,FALSE,TX-1000083,INV-00083,PO-00083,VENDOR-009,9372.78,invoice
TX-1000084,VENDOR-039,2025-10-05,23726.71,99.71,0.81,Manual Entry Error,FALSE,FALSE,TX-1000084,INV-00084,PO-00084,VENDOR-039,23726.71,invoice
TX-1000085,VENDOR-020,2025-09-04,33126.21,8730.20,0.58,Conversion Error,TRUE,FALSE,TX-1000085,INV-00085,PO-00085,VENDOR-020,33126.21,invoice
TX-1000086,VENDOR-045,2025-09-03,19936.75,266.34,0.65,Conversion Error,FALSE,FALSE,TX-1000086,INV-00086,PO-00086,VENDOR-045,19936.75,invoice
TX-1000087,VENDOR-024,2025-11-11,3307.45,414.13,0.65,Reference Data Misalignment,FALSE,FALSE,TX-1000087,INV-00087,PO-00087,VENDOR-024,3307.45,invoice
TX-1000088,VENDOR-028,2025-09-14,21447.46,227.3,0.58,Price Variance,TRUE,FALSE,TX-1000088,INV-00088,PO-00088,VENDOR-028,21447.46,invoice
TX-1000089,VENDOR-018,2025-10-06,2792.83,337.11,0.37,Stale Master Data,TRUE,TRUE,TX-1000089,INV-00089,PO-00089,VENDOR-018,2792.83,invoice
TX-1000090,VENDOR-055,2025-11-19,6265.71,191.21,0.74,Partial Posting,TRUE,FALSE,TX-1000090,INV-00090,PO-00090,VENDOR-055,6265.71,invoice
TX-1000091,VENDOR-040,2025-09-18,17394.1,1116.63,0.85,Manual Entry Error,TRUE,FALSE,TX-1000091,INV-00091,PO-00091,VENDOR-040,17394.1,invoice
TX-1000092,VENDOR-014,2025-10-31,21085.4,1273.11,0.45,Reference Data Misalignment,FALSE,TRUE,TX-1000092,INV-00092,PO-00092,VENDOR-014,21085.4,invoice
TX-1000093,VENDOR-001,2025-11-21,19767.72,340.25,0.52,Accrual Reversal,FALSE,TRUE,TX-1000093,INV-00093,PO-00093,VENDOR-001,19767.72,invoice
TX-1000094,VENDOR-049,2025-10-31,16317.87,294.79,0.59,Missing Receipt,TRUE,FALSE,TX-1000094,INV-00094,PO-00094,VENDOR-049,16317.87,invoice
TX-1000095,VENDOR-015,2025-11-21,24277.33,939.6,0.63,Accrual Reversal,FALSE,FALSE,TX-1000095,INV-00095,PO-00095,VENDOR-015,24277.33,invoice
TX-1000096,VENDOR-036,2025-10-05,897.25,410.47,0.52,Partial Posting,FALSE,TRUE,TX-1000096,INV-00096,PO-00096,VENDOR-036,897.25,invoice
TX-1000097,VENDOR-017,2025-09-02,7844.94,544.22,0.72,Batch Interface Failure,TRUE,FALSE,TX-1000097,INV-00097,PO-00097,VENDOR-017,7844.94,invoice
TX-1000098,VENDOR-045,2025-10-05,13718.22,193.76,0.58,Duplicate Transaction,FALSE,FALSE,TX-1000098,INV-00098,PO-00098,VENDOR-045,13718.22,invoice
TX-1000099,VENDOR-038,2025-11-16,4230.36,196.9,0.93,Manual Entry Error,TRUE,FALSE,TX-1000099,INV-00099,PO-00099,VENDOR-038,4230.36,invoice
TX-1000100,VENDOR-020,2025-11-20,16742.18,187.21,0.91,Manual Entry Error,FALSE,FALSE,TX-1000100,INV-00100,PO-00100,VENDOR-020,16742.18,invoice
